v0.1	Chapter 6
v	Is there a bank nearby?	C'e' una banca qui vicino?
v	a post office	un officio postale
v	a supermarket	un supermercato
v	Where is the train station?	Dov'e' la stazione?
v	the school	la scuola
v	the hospital	l'ospedale
v	There is a pharmacy in Dante Square.	C'e' una farmacia in piazza Dante.
v	There is a church on Mazzini Street.	C'e' una chiesa in via Mazzini.
v	There is a movie theater on Roma Avenue.	C'e' un cinema in viale Roma.
v	The museum is next to the station.	Il museo e' vicino alla stazione.
v	The restaurant is next to the school.	Il ristorante e' vicino alla scuola.
v	The theater is next to the church.	Il teatro e' vicino alla chiesa.
v	Where is a movie theater on Roma Avenue?	C'e' un cinema in viale Roma.
v	(una) banca	bank
v	(un) officio postale	post office
v	(un) supermercato	supermarket
v	(una) stazione	train station
v	(una) scuola	school
v	(un) ospedale	hospital
v	(una) farmacia	pharmacy
v	(una) chiesa	church
v	(un) cinema	movie theater
v	(un) museo	museum
v	(un) ristorante	restaurant
v	(un) teatro	theater
v	C'e' una banca qui vicino.	There is a bank nearby.
v	downtown	in centro
v	straight ahead	sempre diritto
v	on the left, to the left	(a) sinistra
v	on the right, to the right	(a) destra
v	through	per
v	then	poi
v	again	ancora
v	up to	fino a
v	intersection	incrocio
v	traffic light	semaforo
v	near	vicino / vicina / vicini / vicine
v	far	lontano / lontana / lontani / lontane
v	scusi	excuse me (formal)
v	scusa	excuse me (informal)
v	near (singular masculine)	vicino
v	near (singular feminine)	vicina
v	near (plural masculine)	vicini
v	near (plural feminine)	vicine
v	La scuola e' vicino alla chiesa.	The school is next to the church.
v	La scuola e' qui vicino.	The school is nearby.
v	La scuola e' vicina.	The school is near.
q	This is my hometown. Questa e' la mia ___ natale.	citta'
q	The bank and the post office are downtown. La ___ e l'___ postale sono in centro.	banca, ufficio
q	The church is downtown, too. Anche la ___ e' in ___.	chiesa, centro
q	The train station is next to the school. La ___ e' ___ alla ___.	stazione, vicino, scuola
q	The hospital is far. L'___ e' ____.	ospedale, lontano
q	The pharmacy, on the other hand, is near. La ___, inceve, e' ___.	farmacia, vicina
q	There's a movie theater on Mazzini street. ___ un ___ in via Mazzini.	C'e', cinema
q	And there's a theater in Dante Square. E c'e' un ___ in ___ Dante.	teatro, piazza
v	gentile/gentili	kind
v	eccelente/eccelenti	excellent
v	primo/prima/primi/prime	first
v	secondo/seconda/secondi/seconde	second
v	Buona passeggiata!	Enjoy your walk!
v	Buona cena!	Enjoy your dinner!
q	La farmacia e' qui (near).	vicino
q	La famracia e' (near).	vicina
q	La famracia e' (near) all stazione.	vicino
q	Le scuole sono qui (near).	vicino
q	Le scuole sono (near).	vicine
q	Le scuole sono (near) alla banca.	vicino
q	La banca e' qui (near).	vicino
q	La banca e' (near).	vicina
q	La banca e' (near) alla chiesa.	vicino
q	La scuola e' vicina. Le scuole sono ___	vicine
q	L'ospedale e' lontano. Gli ospedali sono ___	lontani
q	Il museo e' interessante. I musei sono ___	interessanti
q	La madre e' gentile. Le madri sono ___	gentili
q	Il padre e' simpatico. I padri sono ___	simpatici
q	Il semaforo e' vicino. I semafori sono ____	vicini
q	L'ufficio postale e' vicino. Gli uffici postali sono ___.	vicini
q	La scuola e' eccelente. Le scuole sono ___	eccelenti
q	La banca e' lontana. Le banche sono ___	lontane
q	Il ristorante e' eccelente. I ristoranti sono ___	eccelelenti
q	La stazione e' (near) all abanca.	vicino
q	La chiesa e' qui (near).	vicino
q	Il ristorante e' (near) alla farmacia.	vicino
q	La scuola e' (near).	vicina
q	L'ufficio postale e' (near).	vicino
q	La banca e' (near).	vicina
q	I supermercati sono (near) alla stazione.	vicino
q	Le scuole sono (near).	vicine
q	Gli ospedali sono (near).	vicini
q	Gli ospedali sono (near) alla scuola.	vicino
v	buona fortuna	good luck
v	buon viaggio	have a good trip
v	buon riposo	have a good rest
v	buon compleanno	happy birthday
v	buon anniversario	happy anniversary
v	buone feste	happy holidays
v	buon Natale	Merry Christmas
